Nr.;Dateiname;AA;BB;CC;DD;EE;FF;GG;HH;II;JJ;KK;LL;MM
nr1;04_IP23_FA_5M_6g_Fu_8b_32_Rq_V7_mj_Ao_B7_rj_yw.csv;FA;5M;6g;Fu;8b;32;Rq;V7;mj;Ao;B7;rj;yw
nr2;04_IP23_FA_5M_6g_Fu_73_32_Rq_V7_mj_Ao_B7_rj_yw.csv;FA;5M;6g;Fu;73;32;Rq;V8;mj;Ao;B7;rj;yw
nr3;04_IP23_FA_5M_6g_Fu_dN_32_Rq_V7_mj_Ao_B7_rj_yw.csv;FA;5M;6g;Fu;dN;32;Rq;V9;mj;Ao;B7;rj;yw
nr4;04_IP23_FA_5M_6g_Fu_MK_32_Rq_V7_mj_Ao_B7_rj_yw.csv;FA;5M;6g;Fu;MK;32;Rq;V10;mj;Ao;B7;rj;yw
nr5;04_IP23_FA_5M_6g_Fu_yq_32_Rq_V7_mj_Ao_B7_rj_yw.csv;FA;5M;6g;Fu;yq;32;Rq;V11;mj;Ao;B7;rj;yw
nr6;04_IP23_ZO_5M_6g_C6_Ak_32_Rq_4K_WH_hc_MJ_rj_EY.csv;ZO;5M;6g;C6;Ak;32;Rq;4K;WH;hc;MJ;rj;EY
nr7;04_IP23_ZO_5M_6g_C6_ps_32_Rq_3d_WH_vG_B7_rj_R2.csv;ZO;5M;6g;C6;ps;32;Rq;3d;WH;vG;B7;rj;R2
nr8;04_IP23_ZO_5M_6g_C6_ZY_32_Rq_V7_WH_hc_B7_rj_EY.csv;ZO;5M;6g;C6;ZY;32;Rq;V7;WH;hc;B7;rj;EY
nr9;04_IP23_ZO_5M_6g_Ge_8b_32_Rq_V7_WH_Ao_B7_rj_EY.csv;ZO;5M;6g;Ge;8b;32;Rq;V7;WH;Ao;B7;rj;EY
nr10;04_IP23_ZO_5M_6g_Ge_73_32_Rq_3d_WH_vG_B7_rj_yw.csv;ZO;5M;6g;Ge;73;32;Rq;3d;WH;vG;B7;rj;yw
nr11;04_IP23_ZO_5M_6g_S4_6t_32_Rq_V7_WH_Ao_B7_rj_EY.csv;ZO;5M;6g;S4;6t;32;Rq;V7;WH;Ao;B7;rj;EY
nr12;04_IP23_ZO_5M_6g_S4_8b_32_Rq_3d_WH_vG_B7_rj_R2.csv;ZO;5M;6g;S4;8b;32;Rq;3d;WH;vG;B7;rj;R2
nr13;04_IP23_ZO_5M_6g_S4_iR_32_Rq_V7_WH_Ao_B7_rj_EY.csv;ZO;5M;6g;S5;iR;32;Rq;V7;WH;Ao;B7;rj;EY
nr14;04_IP23_ZO_5M_6g_S4_MK_32_Rq_V7_WH_Ao_B7_rj_EY.csv;ZO;5M;6g;S4;MK;32;Rq;V7;WH;Ao;B7;rj;EY
nr15;04_IP23_ZO_5M_6g_S4_yq_32_Rq_V7_WH_Ao_B7_rj_EY.csv;ZO;5M;6g;S4;yq;32;Rq;V7;WH;Ao;B7;rj;EY
nr16;04_IP23_ZO_5M_6g_tZ_6t_32_Rq_3d_WH_vG_B7_rj_yw.csv;ZO;5M;6g;tZ;6t;32;Rq;3d;WH;vG;B7;rj;yw
nr17;04_IP23_ZO_5M_6g_tZ_Ak_32_Rq_V7_WH_hc_B7_rj_EY.csv;ZO;5M;6g;tZ;Ak;32;Rq;V7;WH;hc;B7;rj;EY
nr18;04_IP23_ZO_5M_6g_tZ_ps_32_Rq_3d_WH_vG_MJ_rj_R2.csv;ZO;5M;6g;tZ;ps;32;Rq;3d;WH;vG;MJ;rj;R2
nr19;04_IP23_ZO_5M_9r_tZ_6t_32_Rq_4K_WH_hc_MJ_rj_R2.csv;ZO;5M;9r;tZ;6t;32;Rq;4K;WH;hc;MJ;rj;R2
nr20;04_IP23_ZO_5M_9r_tZ_yq_32_Rq_4K_WH_hc_MJ_rj_R2.csv;ZO;5M;9r;tZ;yq;32;Rq;4K;WH;hc;MJ;rj;R2
nr21;04_IP23_ZO_EY_6g_C6_Ak_32_Rq_V7_WH_hc_Dw_rj_EY.csv;ZO;EY;6g;C6;Ak;32;Rq;V7;WH;hc;Dw;rj;EY
nr22;04_IP23_ZO_EY_6g_C6_MK_32_Rq_V7_WH_hc_Dw_rj_EY.csv;ZO;EY;6g;C6;MK;32;Rq;V7;WH;hc;Dw;rj;EY
nr23;04_IP23_ZO_EY_6g_S4_73_32_Rq_3d_WH_vG_Dw_rj_R2.csv;ZO;EY;6g;S4;73;32;Rq;3d;WH;vG;Dw;rj;R2
nr24;04_IP23_ZO_EY_6g_S4_dN_32_Rq_V7_WH_Ao_Dw_rj_EY.csv;ZO;EY;6g;S5;dN;32;Rq;V7;WH;Ao;Dw;rj;Ey
nr25;04_IP23_ZO_EY_6g_S4_zS_32_Rq_3d_WH_vG_Dw_rj_R2.csv;ZO;EY;6g;S6;zS;32;Rq;3d;WH;vG;Dw;rj;R2
nr26;04_IP23_ZO_EY_6g_tZ_Ak_32_Rq_3d_WH_vG_Dw_rj_yw.csv;ZO;EY;6g;tZ;Ak;32;Rq;3d;WH;vG;Dw;rj;yw
nr27;04_IP23_ZO_EY_6g_tZ_Ak_32_Rq_4K_WH_hc_Dw_rj_EY.csv;ZO;EY;6g;tZ;Ak;32;Rq;4K;WH;hc;Dw;rj;EY
nr28;04_IP23_ZO_EY_6g_tZ_Ic_32_Rq_4K_WH_hc_Dw_rj_R2.csv;ZO;EY;6g;tZ;lc;32;Rq;4K;WH;hc;Dw;rj;R2